@relation risco_credito

@attribute rangeIdade string
@attribute numeroDependentes numeric
@attribute estadoCivil string
@attribute escolaridade string
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia string
@attribute tipoEmprego string
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute seraInadimplente {0,1}

@data
'41 a 60',1,'Solteiro','Sem Escolaridade',39,62,'Locatario','CLT',32,2037.00,0.00,111348.00,62244.00,0.00,0,0.00,0,0.00,1
'41 a 60',3,'Solteiro','Mestrado',59,42,'Locatario','Autonomo',20,1921.00,0.00,35123.00,12934.00,0.00,0,207.98,0,8072.73,1
'26 a 40',3,'Solteiro','Sem Escolaridade',32,62,'Locatario','CLT',12,3040.00,0.00,16000.00,9913.00,1352.00,1,29475.64,46,279949.75,1
'26 a 40',4,'Viuvo','Doutorado',39,43,'Locatario','PJ',21,2486.00,0.00,21394.00,20405.00,1678.00,0,0.00,0,0.00,0
'26 a 40',4,'Solteiro','Sem Escolaridade',21,59,'Locatario','CLT',22,9701.00,51905.00,614000.00,420332.00,85634.00,0,0.00,0,0.00,0
'acima de 60',0,'Viuvo','Ensino Médio Completo',44,49,'Proprietario','PJ',67,1518.00,0.00,37625.00,30730.00,0.00,0,0.00,0,0.00,0
'acima de 60',2,'Solteiro','Sem Escolaridade',63,61,'Locatario','CLT',22,2673.00,0.00,70853.00,54020.00,-6712.00,1,785.86,34,38743.75,1
'acima de 60',0,'Solteiro','Sem Escolaridade',71,41,'Locatario','CLT',20,13319.00,158431.00,494181.00,341875.00,-65339.00,1,9373.43,29,294104.77,1
'acima de 60',1,'Solteiro','Sem Escolaridade',81,42,'Locatario','CLT',28,1518.00,0.00,43110.00,27467.00,592.00,0,0.00,0,0.00,1
'26 a 40',4,'Solteiro','Sem Escolaridade',0,42,'Locatario','CLT',7,1518.00,0.00,6004.00,4533.00,221.00,0,0.00,0,0.00,1
'acima de 60',2,'Casado','Ensino Médio Completo',70,43,'Locatario','CLT',12,2185.00,0.00,100996.00,53880.00,8861.00,1,1862.30,83,38250.00,1
'acima de 60',1,'Solteiro','Ensino Fundamental Incompleto',78,62,'Proprietario','Autonomo',38,3457.00,0.00,48772.00,30916.00,1692.00,0,12102.19,0,991180.00,1
'41 a 60',2,'Solteiro','Superior Incompleto',35,47,'Proprietario','CLT',32,1518.00,0.00,74981.00,47012.00,0.00,1,12854.74,35,349795.10,1
'41 a 60',2,'Solteiro','Sem Escolaridade',21,47,'Locatario','CLT',36,2206.00,0.00,76848.00,51321.00,2571.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',39,61,'Locatario','CLT',20,4112.00,543616.00,673562.00,339750.00,-460749.00,0,834.87,0,6731.76,0
'acima de 60',1,'Solteiro','Sem Escolaridade',63,49,'Locatario','CLT',65,2028.00,45117.00,304338.00,110982.00,-519147.00,1,108.00,39,3270.53,1
'41 a 60',3,'Solteiro','Sem Escolaridade',17,37,'Locatario','CLT',17,2341.00,0.00,56147.00,40613.00,0.00,1,940.87,57,2242.85,1
'acima de 60',4,'Solteiro','Sem Escolaridade',95,44,'Locatario','CLT',26,1964.00,0.00,31350.00,3145.00,-23594.00,0,0.00,0,0.00,1
'41 a 60',4,'Casado','Ensino Médio Completo',45,50,'Locatario','CLT',27,1822.00,0.00,92293.00,10838.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',56,43,'Locatario','CLT',43,3200.00,0.00,41085.00,40002.00,-40523.00,0,0.00,0,0.00,1
'26 a 40',4,'Solteiro','Sem Escolaridade',19,41,'Locatario','CLT',12,1676.00,357546.00,766370.00,509575.00,78714.00,0,0.00,0,0.00,0
'até 25',0,'Solteiro','Sem Escolaridade',18,43,'Locatario','CLT',0,2110.00,0.00,48146.00,22311.00,0.00,0,0.00,0,0.00,1
'41 a 60',3,'Casado','Ensino Médio Incompleto',48,36,'Locatario','PJ',2,1651.00,0.00,52980.00,36610.00,0.00,1,183.96,89,2201.11,1
'até 25',3,'Viuvo','Superior Incompleto',15,42,'Locatario','PJ',3,1518.00,0.00,55014.00,10037.00,-2292.00,1,54.10,18,841.11,1
'41 a 60',2,'Solteiro','Sem Escolaridade',0,41,'Locatario','CLT',32,2003.00,0.00,71666.00,13739.00,2034.00,0,0.00,0,0.00,0
'41 a 60',3,'Solteiro','Ensino Médio Incompleto',16,42,'Locatario','CLT',39,1518.00,0.00,63584.00,22190.00,-54695.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Pós-graduação',64,49,'Proprietario','PJ',50,2186.00,0.00,49606.00,38244.00,-8718.00,0,0.00,0,0.00,0
'acima de 60',3,'Casado','Pós-graduação',68,44,'Locatario','CLT',19,2734.00,0.00,103456.00,34726.00,9990.00,0,8235.24,0,91709.59,0
'acima de 60',3,'Solteiro','Sem Escolaridade',47,49,'Locatario','CLT',79,5232.00,258527.00,381999.00,317337.00,-536965.00,0,0.00,0,0.00,0
'41 a 60',1,'Solteiro','Sem Escolaridade',30,62,'Locatario','CLT',40,1518.00,0.00,40291.00,5767.00,0.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Sem Escolaridade',26,36,'Locatario','CLT',10,1518.00,0.00,36356.00,34595.00,-48783.00,0,0.00,0,0.00,1
'acima de 60',4,'Solteiro','Ensino Fundamental Incompleto',64,43,'Proprietario','Autonomo',46,2065.00,0.00,22608.00,20619.00,4110.00,1,1316.88,57,43211.12,1
'41 a 60',0,'Viuvo','Ensino Médio Incompleto',53,54,'Locatario','PJ',31,2042.00,0.00,45063.00,5199.00,-21112.00,1,5818.46,47,348612.39,1
'acima de 60',3,'Solteiro','Sem Escolaridade',79,56,'Locatario','CLT',27,10387.00,97692.00,1040793.00,483565.00,4758.00,0,0.00,0,0.00,0
'acima de 60',4,'Casado','Ensino Médio Incompleto',73,36,'Proprietario','PJ',15,2158.00,0.00,97287.00,30171.00,11886.00,0,0.00,0,0.00,0
'acima de 60',2,'Solteiro','Sem Escolaridade',34,49,'Locatario','CLT',43,1518.00,0.00,70251.00,26226.00,-33867.00,1,709.30,54,2512.08,1
'acima de 60',2,'Solteiro','Sem Escolaridade',84,41,'Locatario','CLT',33,10273.00,15136.00,607560.00,211962.00,128515.00,0,0.00,0,0.00,0
'acima de 60',1,'Casado','Ensino Fundamental Completo',36,37,'Locatario','Autonomo',13,2565.00,0.00,61757.00,55387.00,0.00,0,36501.23,0,933850.00,1
'até 25',0,'Solteiro','Sem Escolaridade',22,44,'Locatario','CLT',2,1518.00,0.00,84652.00,62010.00,25186.00,0,632.98,0,21910.00,1
'41 a 60',1,'Solteiro','Sem Escolaridade',52,41,'Locatario','CLT',23,1558.00,0.00,53614.00,49756.00,6190.00,0,10418.96,0,523924.70,1
'acima de 60',1,'Solteiro','Superior Incompleto',90,48,'Proprietario','Autonomo',65,2590.00,0.00,28931.00,13901.00,-43718.00,1,4368.90,24,17822.97,1
'acima de 60',2,'Viuvo','Superior Incompleto',81,44,'Proprietario','CLT',18,1518.00,0.00,73134.00,49328.00,0.00,0,1668.26,0,87666.67,1
'26 a 40',4,'Solteiro','Sem Escolaridade',9,54,'Locatario','Autonomo',9,1755.00,0.00,127440.00,73727.00,12740.00,1,296.00,18,7368.00,1
'acima de 60',4,'Casado','Ensino Fundamental Completo',58,49,'Proprietario','PJ',6,2121.00,0.00,88912.00,62418.00,0.00,0,8.83,0,730.26,0
'26 a 40',3,'Casado','Ensino Fundamental Incompleto',22,41,'Locatario','PJ',21,2000.00,0.00,8073.00,4105.00,0.00,1,1284.30,17,84392.54,1
'41 a 60',3,'Solteiro','Doutorado',0,48,'Proprietario','PJ',22,2233.00,0.00,76534.00,45699.00,19191.00,1,855.66,64,71484.25,1
'acima de 60',3,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',72,1528.00,0.00,84349.00,79815.00,1817.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',62,41,'Locatario','CLT',5,1518.00,0.00,60534.00,52880.00,-35005.00,0,0.00,0,0.00,1
'41 a 60',3,'Solteiro','Sem Escolaridade',49,54,'Locatario','CLT',34,13670.00,48101.00,913445.00,685662.00,13672.00,0,5362.96,0,117306.25,1
'acima de 60',2,'Solteiro','Sem Escolaridade',69,44,'Locatario','CLT',41,1518.00,0.00,137686.00,63706.00,0.00,0,12494.21,0,399141.54,1
'acima de 60',2,'Solteiro','Sem Escolaridade',9,54,'Locatario','CLT',70,1518.00,0.00,36598.00,1591.00,-59735.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Sem Escolaridade',82,47,'Locatario','CLT',25,1924.00,0.00,77583.00,38609.00,3103.00,1,2109.00,95,63907.36,1
'26 a 40',2,'Solteiro','Sem Escolaridade',33,42,'Locatario','CLT',11,2067.00,0.00,89892.00,26886.00,0.00,1,18637.01,46,733950.49,1
'acima de 60',2,'Solteiro','Sem Escolaridade',22,54,'Locatario','CLT',44,1518.00,0.00,97917.00,65850.00,30493.00,0,5932.94,0,153270.00,1
'até 25',3,'Casado','Técnico',1,44,'Proprietario','Autonomo',6,2737.00,0.00,36375.00,27559.00,1580.00,0,9026.89,0,468623.08,1
'26 a 40',1,'Viuvo','Ensino Fundamental Incompleto',32,49,'Locatario','CLT',14,1518.00,0.00,128553.00,47448.00,1287.00,0,0.00,0,0.00,0
'até 25',1,'Viuvo','Mestrado',0,49,'Locatario','CLT',3,2200.00,0.00,51260.00,43576.00,-23456.00,0,4287.20,0,374600.00,1
'acima de 60',4,'Solteiro','Sem Escolaridade',90,44,'Locatario','CLT',30,1518.00,0.00,63163.00,25539.00,-13340.00,0,0.00,0,0.00,1
'41 a 60',0,'Solteiro','Sem Escolaridade',23,42,'Locatario','CLT',29,1518.00,0.00,11369.00,4896.00,687.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',46,56,'Locatario','CLT',67,1993.00,0.00,143020.00,78536.00,-35307.00,0,0.00,0,0.00,1
'41 a 60',4,'Solteiro','Sem Escolaridade',8,54,'Locatario','CLT',35,1608.00,0.00,16990.00,3970.00,275.00,0,3781.93,0,311491.24,1
'acima de 60',4,'Solteiro','Sem Escolaridade',55,44,'Locatario','CLT',6,16441.00,68211.00,287579.00,56486.00,15299.00,1,2113.40,71,133739.19,1
'26 a 40',1,'Solteiro','Sem Escolaridade',1,44,'Locatario','CLT',10,2644.00,0.00,81953.00,21168.00,-34489.00,1,76323.32,75,316219.15,1
'acima de 60',2,'Solteiro','Ensino Médio Completo',96,41,'Locatario','CLT',78,3361.00,0.00,15760.00,4083.00,-11595.00,0,603.65,0,21430.43,0
'41 a 60',4,'Viuvo','Pós-graduação',2,46,'Locatario','PJ',30,7686.00,11262.00,176973.00,92575.00,37741.00,0,891.60,0,24690.00,0
'26 a 40',3,'Solteiro','Sem Escolaridade',22,44,'Locatario','CLT',16,2018.00,0.00,121352.00,75629.00,14907.00,0,136.18,0,3137.84,0
'26 a 40',0,'Solteiro','Ensino Fundamental Incompleto',15,54,'Locatario','Autonomo',9,1518.00,0.00,128536.00,63414.00,-52524.00,0,0.00,0,0.00,1
'41 a 60',3,'Solteiro','Sem Escolaridade',3,44,'Locatario','CLT',3,2638.00,0.00,43483.00,20717.00,0.00,0,0.00,0,0.00,1
'acima de 60',4,'Solteiro','Técnico',44,51,'Locatario','PJ',45,1518.00,0.00,71115.00,62558.00,20349.00,1,1529.63,29,8998.57,1
'até 25',1,'Solteiro','Sem Escolaridade',20,49,'Locatario','CLT',4,1518.00,0.00,99434.00,72850.00,-25565.00,0,0.00,0,0.00,0
'41 a 60',1,'Solteiro','Sem Escolaridade',48,36,'Locatario','CLT',2,2189.00,0.00,62119.00,51187.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',65,42,'Locatario','CLT',45,1518.00,0.00,89338.00,38750.00,-4939.00,0,0.00,0,0.00,1
'acima de 60',2,'Solteiro','Sem Escolaridade',15,49,'Locatario','CLT',41,17843.00,225271.00,348620.00,207153.00,-233064.00,0,0.00,0,0.00,0
'acima de 60',0,'Viuvo','Ensino Fundamental Completo',50,42,'Locatario','Autonomo',12,2432.00,0.00,95621.00,44377.00,-30525.00,0,0.00,0,0.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',67,46,'Locatario','CLT',11,9285.00,156396.00,535189.00,514946.00,69521.00,0,3754.05,0,132300.00,0
'até 25',1,'Viuvo','Pós-graduação',20,54,'Proprietario','Autonomo',2,1793.00,0.00,50338.00,4736.00,-1831.00,0,0.00,0,0.00,0
'26 a 40',3,'Solteiro','Sem Escolaridade',12,41,'Locatario','CLT',14,1610.00,0.00,62980.00,35684.00,5080.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Sem Escolaridade',46,41,'Locatario','CLT',35,13806.00,355026.00,178119.00,56094.00,32605.00,1,690.33,8,14950.09,0
'acima de 60',4,'Solteiro','Sem Escolaridade',55,47,'Locatario','CLT',73,1518.00,0.00,9490.00,4161.00,-52537.00,0,0.00,0,0.00,1
'acima de 60',1,'Viuvo','Pós-graduação',14,41,'Proprietario','PJ',41,1518.00,0.00,157225.00,61738.00,25799.00,1,4299.88,11,14100.58,1
'acima de 60',0,'Casado','Doutorado',78,48,'Proprietario','CLT',62,2443.00,0.00,105480.00,61836.00,11233.00,1,1453.30,23,102857.50,0
'acima de 60',3,'Casado','Técnico',84,46,'Proprietario','Autonomo',36,2694.00,0.00,39948.00,37761.00,-22853.00,0,0.00,0,0.00,0
'26 a 40',3,'Viuvo','Ensino Fundamental Incompleto',39,49,'Locatario','Autonomo',12,1998.00,0.00,19598.00,17921.00,-27893.00,1,771.90,15,70843.89,1
'até 25',0,'Solteiro','Mestrado',19,46,'Locatario','Autonomo',1,3179.00,0.00,75159.00,30913.00,-43577.00,0,0.00,0,0.00,0
'26 a 40',3,'Solteiro','Sem Escolaridade',34,49,'Locatario','CLT',1,3036.00,0.00,63653.00,2357.00,260.00,1,5619.52,55,117007.62,1
'acima de 60',4,'Solteiro','Sem Escolaridade',88,51,'Locatario','CLT',19,2684.00,0.00,35800.00,23761.00,0.00,0,615.30,0,7940.82,1
'41 a 60',3,'Solteiro','Ensino Fundamental Incompleto',44,56,'Locatario','Autonomo',39,1518.00,0.00,12664.00,5389.00,0.00,0,0.00,0,0.00,1
'41 a 60',0,'Solteiro','Doutorado',54,46,'Proprietario','PJ',36,2742.00,0.00,103255.00,29022.00,10895.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',37,42,'Locatario','CLT',23,13917.00,394694.00,170552.00,87557.00,4107.00,1,2579.27,8,71559.88,0
'26 a 40',4,'Viuvo','Sem Escolaridade',5,59,'Proprietario','Autonomo',17,1964.00,0.00,64092.00,11107.00,0.00,0,0.00,0,0.00,1
'26 a 40',2,'Viuvo','Ensino Médio Incompleto',31,59,'Locatario','CLT',13,1518.00,0.00,107231.00,62724.00,1786.00,0,0.00,0,0.00,0
'41 a 60',4,'Solteiro','Sem Escolaridade',44,41,'Locatario','CLT',25,1518.00,0.00,36997.00,7703.00,0.00,0,14348.87,0,990070.00,1
'41 a 60',2,'Solteiro','Sem Escolaridade',58,49,'Locatario','CLT',35,1518.00,0.00,8217.00,8036.00,0.00,1,694.77,58,14860.76,1
'41 a 60',4,'Solteiro','Sem Escolaridade',56,41,'Locatario','CLT',28,3049.00,69707.00,637243.00,540631.00,-269778.00,0,0.00,0,0.00,0
'até 25',1,'Solteiro','Sem Escolaridade',20,51,'Locatario','CLT',2,1661.00,0.00,36768.00,21185.00,14196.00,0,0.00,0,0.00,1
'acima de 60',3,'Viuvo','Técnico',82,41,'Proprietario','CLT',38,1924.00,0.00,21385.00,294.00,193.00,1,12017.74,31,72940.00,1
'41 a 60',1,'Solteiro','Doutorado',47,41,'Locatario','PJ',6,1584.00,0.00,34456.00,23659.00,-10648.00,0,15264.00,0,849000.00,1
'até 25',2,'Casado','Ensino Médio Incompleto',16,47,'Locatario','Autonomo',1,1518.00,0.00,54200.00,9856.00,0.00,0,0.00,0,0.00,1
'26 a 40',2,'Solteiro','Sem Escolaridade',21,49,'Locatario','CLT',15,2993.00,368100.00,233238.00,156760.00,15647.00,1,3712.01,38,175010.70,1
'acima de 60',1,'Solteiro','Sem Escolaridade',54,54,'Locatario','CLT',70,4160.00,14800.00,943578.00,478811.00,-138391.00,0,0.00,0,0.00,0
'41 a 60',2,'Solteiro','Sem Escolaridade',24,46,'Locatario','CLT',27,3281.00,0.00,60150.00,42982.00,18709.00,0,0.00,0,0.00,0
'acima de 60',2,'Viuvo','Superior Completo',71,48,'Proprietario','PJ',51,7679.00,286671.00,288334.00,235542.00,60651.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',71,42,'Locatario','CLT',32,1959.00,0.00,52676.00,38421.00,6980.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Superior Incompleto',98,44,'Locatario','PJ',76,1607.00,224644.00,675794.00,530391.00,37570.00,1,181.02,5,10347.47,1
'26 a 40',0,'Solteiro','Sem Escolaridade',26,50,'Locatario','CLT',8,2592.00,0.00,63572.00,11455.00,-23933.00,0,0.00,0,0.00,0
'26 a 40',4,'Solteiro','Ensino Médio Completo',38,37,'Proprietario','PJ',16,1901.00,0.00,41156.00,36917.00,0.00,1,2272.90,13,75313.23,1
'até 25',3,'Solteiro','Sem Escolaridade',22,42,'Locatario','CLT',2,8771.00,11756.00,18640.00,115.00,-285454.00,0,0.00,0,0.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',47,43,'Locatario','CLT',62,2919.00,0.00,64423.00,19533.00,-16849.00,0,4204.90,0,125206.36,1
'acima de 60',1,'Solteiro','Sem Escolaridade',96,56,'Locatario','CLT',78,1546.00,0.00,133295.00,61654.00,29008.00,1,33457.80,75,715904.67,1
'até 25',1,'Solteiro','Sem Escolaridade',22,42,'Locatario','CLT',4,2785.00,0.00,80808.00,15098.00,-38410.00,0,13063.75,0,96200.00,1
'acima de 60',1,'Solteiro','Superior Completo',42,43,'Locatario','CLT',26,1518.00,0.00,66988.00,42979.00,0.00,1,22.63,13,339.12,1
'até 25',1,'Solteiro','Sem Escolaridade',22,62,'Locatario','CLT',4,1662.00,0.00,99276.00,70439.00,35559.00,0,330.22,0,5461.29,0
'41 a 60',4,'Solteiro','Sem Escolaridade',43,36,'Locatario','CLT',25,2706.00,0.00,20601.00,18761.00,-2187.00,1,85792.34,61,488773.70,1
'41 a 60',0,'Solteiro','Sem Escolaridade',51,44,'Locatario','CLT',7,3123.00,0.00,19804.00,15306.00,7664.00,1,1065.27,19,31775.44,1
'41 a 60',1,'Solteiro','Sem Escolaridade',29,36,'Locatario','CLT',17,2663.00,0.00,133855.00,80705.00,0.00,1,96.68,2,1640.48,1
'acima de 60',2,'Solteiro','Sem Escolaridade',70,48,'Locatario','CLT',52,1827.00,0.00,15423.00,1520.00,196.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Sem Escolaridade',78,36,'Locatario','CLT',36,1518.00,0.00,87726.00,17372.00,0.00,0,0.00,0,0.00,0
'26 a 40',1,'Solteiro','Ensino Médio Completo',11,50,'Locatario','Autonomo',21,1953.00,0.00,58118.00,27893.00,287.00,0,0.00,0,0.00,0
'até 25',0,'Solteiro','Sem Escolaridade',23,61,'Locatario','CLT',6,7344.00,606471.00,219411.00,9786.00,0.00,1,5355.84,47,121169.34,1
'acima de 60',0,'Solteiro','Ensino Fundamental Completo',45,54,'Locatario','Autonomo',60,2898.00,0.00,81471.00,16023.00,0.00,1,2332.81,4,73959.71,1
'41 a 60',4,'Solteiro','Sem Escolaridade',10,44,'Locatario','CLT',40,2426.00,0.00,43663.00,797.00,0.00,0,0.00,0,0.00,1
'41 a 60',0,'Solteiro','Sem Escolaridade',47,41,'Locatario','CLT',35,1518.00,0.00,48138.00,36478.00,4126.00,0,0.00,0,0.00,0
'acima de 60',4,'Casado','Ensino Fundamental Completo',85,51,'Proprietario','PJ',73,1849.00,0.00,39401.00,27899.00,508.00,0,59720.94,0,1029955.20,1
'26 a 40',0,'Solteiro','Sem Escolaridade',26,56,'Locatario','CLT',8,2707.00,0.00,133864.00,49418.00,0.00,1,2807.41,47,56466.67,1
'acima de 60',3,'Casado','Ensino Fundamental Incompleto',81,61,'Proprietario','Autonomo',75,2115.00,0.00,67567.00,26897.00,-57685.00,0,263.04,0,11400.00,1
'26 a 40',0,'Casado','Superior Completo',10,43,'Proprietario','CLT',17,3140.00,0.00,64465.00,34129.00,-64873.00,0,4703.10,0,93182.61,0
'acima de 60',4,'Solteiro','Doutorado',63,41,'Locatario','Autonomo',45,1874.00,89106.00,788674.00,297362.00,-175478.00,0,0.00,0,0.00,0
'acima de 60',2,'Solteiro','Sem Escolaridade',76,59,'Locatario','CLT',21,2163.00,0.00,36701.00,32974.00,5474.00,1,1345.64,45,26875.90,1
'acima de 60',0,'Casado','Mestrado',44,43,'Proprietario','PJ',64,3063.00,0.00,32055.00,22608.00,4171.00,0,0.00,0,0.00,0
'26 a 40',2,'Viuvo','Ensino Fundamental Incompleto',23,44,'Locatario','Autonomo',2,3685.00,214429.00,467110.00,282316.00,0.00,0,0.00,0,0.00,0
'acima de 60',1,'Viuvo','Ensino Fundamental Completo',96,59,'Proprietario','Autonomo',80,11487.00,68127.00,742998.00,51904.00,0.00,0,0.00,0,0.00,0
'41 a 60',1,'Casado','Ensino Médio Completo',14,61,'Locatario','PJ',10,1518.00,0.00,49512.00,12855.00,2723.00,0,0.00,0,0.00,0
'acima de 60',1,'Viuvo','Superior Incompleto',88,41,'Proprietario','Autonomo',45,3229.00,102456.00,750954.00,358083.00,-192405.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',77,62,'Locatario','CLT',67,1518.00,0.00,37463.00,72.00,-2752.00,1,984.86,51,69946.36,1
'41 a 60',1,'Solteiro','Sem Escolaridade',29,43,'Locatario','CLT',12,1729.00,0.00,116342.00,34720.00,6211.00,0,0.00,0,0.00,0
'acima de 60',3,'Viuvo','Técnico',77,44,'Proprietario','CLT',55,1560.00,0.00,65599.00,34613.00,0.00,0,0.00,0,0.00,0
'até 25',3,'Casado','Ensino Fundamental Incompleto',1,54,'Proprietario','CLT',2,1518.00,0.00,85995.00,63576.00,-11703.00,0,0.00,0,0.00,1
