@relation risco_credito

@attribute rangeIdade string
@attribute numeroDependentes numeric
@attribute estadoCivil string
@attribute escolaridade string
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia string
@attribute tipoEmprego string
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute seraInadimplente {0,1}

@data
'acima de 60',1,'Casado','Ensino Fundamental Incompleto',41,43,'Proprietario','PJ',48,16406.00,73307.00,481522.00,272890.00,75462.00,0,861.02,0,63090.00,0
'até 25',1,'Solteiro','Sem Escolaridade',23,43,'Locatario','CLT',4,1548.00,0.00,77930.00,31894.00,290.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',22,43,'Locatario','CLT',7,1518.00,0.00,110430.00,39639.00,7765.00,0,673.68,0,34700.64,1
'acima de 60',3,'Solteiro','Sem Escolaridade',36,41,'Locatario','CLT',6,2421.00,0.00,68234.00,13276.00,0.00,0,0.00,0,0.00,1
'acima de 60',0,'Casado','Ensino Médio Incompleto',97,41,'Locatario','Autonomo',79,1518.00,0.00,95556.00,17536.00,3067.00,0,0.00,0,0.00,0
'41 a 60',2,'Solteiro','Sem Escolaridade',27,47,'Locatario','CLT',15,1518.00,0.00,78004.00,55575.00,13643.00,0,0.00,0,0.00,0
'41 a 60',4,'Viuvo','Sem Escolaridade',20,36,'Locatario','Autonomo',1,1897.00,0.00,35609.00,22009.00,0.00,1,19078.33,18,476200.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',81,41,'Locatario','CLT',63,1518.00,0.00,120149.00,89549.00,0.00,0,0.00,0,0.00,0
'até 25',4,'Solteiro','Sem Escolaridade',0,61,'Locatario','CLT',0,1518.00,0.00,22773.00,15472.00,3772.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Mestrado',77,43,'Proprietario','Autonomo',69,1518.00,0.00,49190.00,41505.00,14798.00,1,3774.31,41,72115.87,1
'acima de 60',1,'Viuvo','Ensino Fundamental Completo',72,59,'Proprietario','CLT',52,6806.00,569645.00,187070.00,108538.00,-64540.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Superior Completo',4,54,'Proprietario','PJ',18,1518.00,0.00,131415.00,68373.00,0.00,1,3649.41,21,256165.83,1
'41 a 60',3,'Solteiro','Sem Escolaridade',1,54,'Locatario','CLT',6,2759.00,0.00,80651.00,6222.00,516.00,1,6857.21,23,144483.34,1
'até 25',0,'Solteiro','Sem Escolaridade',25,49,'Locatario','CLT',7,1518.00,0.00,56632.00,13397.00,0.00,0,12138.56,0,299921.05,1
'acima de 60',3,'Solteiro','Sem Escolaridade',66,50,'Locatario','CLT',51,2718.00,0.00,48250.00,28025.00,3631.00,1,767.50,26,3860.00,1
'26 a 40',3,'Solteiro','Sem Escolaridade',30,41,'Locatario','CLT',10,1518.00,0.00,53310.00,20176.00,8494.00,1,10103.91,18,337590.22,1
'26 a 40',1,'Solteiro','Sem Escolaridade',25,48,'Locatario','CLT',7,1518.00,0.00,45994.00,26765.00,0.00,0,94.44,0,4400.00,0
'41 a 60',2,'Solteiro','Sem Escolaridade',16,41,'Locatario','CLT',32,7212.00,107414.00,432354.00,81672.00,-42210.00,1,2188.07,47,66084.87,1
'26 a 40',4,'Solteiro','Sem Escolaridade',28,41,'Locatario','CLT',7,1919.00,0.00,35917.00,29295.00,0.00,1,1394.97,8,99423.08,1
'acima de 60',3,'Casado','Pós-graduação',18,43,'Proprietario','PJ',6,1518.00,0.00,47737.00,9378.00,0.00,1,1197.39,48,76872.09,1
'41 a 60',2,'Solteiro','Sem Escolaridade',50,36,'Locatario','CLT',31,2150.00,0.00,30966.00,24966.00,1806.00,0,2226.17,0,137467.53,1
'26 a 40',1,'Casado','Doutorado',33,54,'Proprietario','CLT',15,2205.00,0.00,55285.00,53387.00,5080.00,1,12460.93,20,459070.77,1
'41 a 60',1,'Solteiro','Ensino Fundamental Incompleto',60,44,'Locatario','CLT',20,1518.00,0.00,37361.00,28427.00,0.00,1,1446.71,13,91875.00,1
'41 a 60',1,'Casado','Doutorado',31,44,'Locatario','CLT',24,1518.00,0.00,9415.00,7915.00,179.00,0,2414.96,0,100050.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',62,54,'Locatario','CLT',46,2209.00,0.00,27952.00,2770.00,-1496.00,0,0.00,0,0.00,1
'acima de 60',3,'Casado','Ensino Médio Completo',94,37,'Proprietario','CLT',76,1960.00,0.00,48750.00,29260.00,0.00,0,0.00,0,0.00,0
'41 a 60',2,'Casado','Sem Escolaridade',10,43,'Proprietario','PJ',37,1944.00,0.00,63546.00,25200.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',20,41,'Locatario','CLT',41,2303.00,0.00,127376.00,70783.00,0.00,1,1817.21,26,15604.55,1
'acima de 60',3,'Solteiro','Pós-graduação',41,43,'Proprietario','CLT',22,1550.00,0.00,54426.00,21316.00,0.00,1,791.22,0,16090.72,1
'acima de 60',2,'Casado','Sem Escolaridade',50,54,'Proprietario','Autonomo',20,2582.00,0.00,75665.00,34630.00,6032.00,0,313.57,0,13964.29,1
'41 a 60',4,'Solteiro','Sem Escolaridade',13,44,'Locatario','CLT',38,1895.00,0.00,107414.00,65403.00,19034.00,1,188.33,14,2962.40,1
'41 a 60',2,'Viuvo','Ensino Fundamental Completo',51,61,'Proprietario','Autonomo',35,1801.00,116451.00,550434.00,282099.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Superior Completo',31,44,'Proprietario','CLT',44,2357.00,0.00,43125.00,9429.00,0.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',91,41,'Locatario','CLT',73,3138.00,0.00,94052.00,28172.00,8582.00,1,374.13,18,13563.88,1
'41 a 60',0,'Solteiro','Sem Escolaridade',57,43,'Locatario','CLT',6,2937.00,0.00,97550.00,78002.00,-80169.00,0,3320.52,0,73000.00,1
'acima de 60',1,'Viuvo','Superior Incompleto',88,41,'Proprietario','Autonomo',45,3229.00,102456.00,750954.00,358083.00,-192405.00,0,0.00,0,0.00,0
'41 a 60',3,'Solteiro','Sem Escolaridade',11,49,'Locatario','CLT',5,1518.00,0.00,155881.00,74545.00,-5458.00,0,0.00,0,0.00,0
'26 a 40',3,'Casado','Ensino Fundamental Completo',6,54,'Proprietario','Autonomo',12,1518.00,0.00,105767.00,39663.00,23729.00,1,13480.00,17,997723.40,1
'41 a 60',1,'Solteiro','Sem Escolaridade',44,56,'Locatario','CLT',24,1715.00,0.00,78047.00,3102.00,1033.00,0,0.00,0,0.00,1
'acima de 60',2,'Solteiro','Superior Completo',58,62,'Locatario','CLT',31,1518.00,0.00,45063.00,6087.00,2396.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',95,51,'Locatario','CLT',37,2068.00,0.00,42714.00,30185.00,1529.00,0,0.00,0,0.00,1
'até 25',4,'Casado','Ensino Fundamental Incompleto',10,41,'Locatario','CLT',1,1992.00,0.00,54381.00,18958.00,228.00,1,45637.48,4,521161.44,1
'41 a 60',2,'Solteiro','Sem Escolaridade',19,41,'Locatario','CLT',34,2515.00,0.00,52080.00,36133.00,2263.00,1,1092.45,5,36350.81,1
'26 a 40',1,'Solteiro','Técnico',12,44,'Proprietario','Autonomo',1,2420.00,0.00,28968.00,23194.00,3106.00,0,1523.60,0,33036.04,1
'acima de 60',1,'Solteiro','Ensino Fundamental Incompleto',95,54,'Locatario','CLT',52,1549.00,0.00,94101.00,90459.00,0.00,0,0.00,0,0.00,1
'acima de 60',1,'Viuvo','Superior Incompleto',63,43,'Locatario','PJ',41,3446.00,0.00,74886.00,32404.00,-32995.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',63,46,'Locatario','CLT',50,1518.00,0.00,77384.00,19506.00,3582.00,0,0.00,0,0.00,0
'até 25',2,'Casado','Superior Completo',18,46,'Locatario','Autonomo',3,6329.00,15360.00,667153.00,548960.00,0.00,0,0.00,0,0.00,0
'acima de 60',2,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',64,2378.00,0.00,34355.00,3968.00,-24814.00,1,64.06,62,1566.27,1
'41 a 60',0,'Solteiro','Sem Escolaridade',15,62,'Locatario','CLT',9,12585.00,54211.00,381649.00,259657.00,0.00,0,0.00,0,0.00,0
'26 a 40',2,'Solteiro','Sem Escolaridade',27,41,'Locatario','CLT',11,1716.00,0.00,28327.00,4659.00,-11785.00,1,88.51,4,4766.67,1
'até 25',4,'Solteiro','Superior Completo',20,44,'Locatario','PJ',3,1687.00,0.00,49147.00,24249.00,7609.00,0,6191.55,0,161998.36,1
'até 25',1,'Solteiro','Mestrado',21,43,'Proprietario','CLT',6,2509.00,446301.00,404370.00,364517.00,11466.00,1,2604.80,11,66307.98,0
'acima de 60',4,'Casado','Doutorado',87,54,'Proprietario','CLT',29,1518.00,0.00,19118.00,8121.00,2521.00,1,2845.45,46,120194.58,1
'41 a 60',0,'Solteiro','Sem Escolaridade',0,50,'Locatario','CLT',3,1849.00,0.00,54776.00,46176.00,0.00,1,3961.10,38,55600.91,1
'26 a 40',3,'Solteiro','Sem Escolaridade',0,62,'Locatario','CLT',20,2333.00,143872.00,134753.00,104062.00,-229011.00,0,0.00,0,0.00,1
'acima de 60',0,'Casado','Ensino Médio Incompleto',92,62,'Locatario','Autonomo',38,16613.00,161479.00,54446.00,48241.00,7438.00,0,245.32,0,9160.00,0
'acima de 60',2,'Casado','Ensino Fundamental Completo',67,41,'Proprietario','CLT',4,1518.00,0.00,48930.00,41643.00,-25936.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Doutorado',68,43,'Proprietario','CLT',14,3309.00,0.00,65089.00,39050.00,-77690.00,0,0.00,0,0.00,0
'26 a 40',3,'Solteiro','Ensino Médio Incompleto',16,46,'Locatario','CLT',8,1637.00,10885.00,615168.00,202217.00,-141065.00,1,1396.47,65,32609.45,1
'acima de 60',2,'Solteiro','Doutorado',36,43,'Proprietario','Autonomo',7,1518.00,0.00,124807.00,56678.00,-7897.00,0,0.00,0,0.00,0
'acima de 60',4,'Viuvo','Mestrado',33,44,'Proprietario','Autonomo',36,1518.00,0.00,40558.00,23780.00,0.00,1,353.01,52,19027.44,1
'acima de 60',3,'Casado','Superior Completo',23,41,'Proprietario','PJ',40,2669.00,0.00,56866.00,7097.00,0.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',65,41,'Locatario','CLT',24,1670.00,0.00,73422.00,57338.00,-25903.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',91,56,'Locatario','CLT',32,15254.00,110947.00,258089.00,28215.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',88,37,'Locatario','CLT',65,9687.00,276272.00,451846.00,373628.00,135245.00,1,718.48,52,7322.86,0
'acima de 60',2,'Solteiro','Sem Escolaridade',50,43,'Locatario','CLT',66,2567.00,0.00,9400.00,4229.00,843.00,0,0.00,0,0.00,1
'41 a 60',1,'Solteiro','Sem Escolaridade',7,43,'Locatario','CLT',5,1518.00,0.00,14003.00,10570.00,4021.00,0,0.00,0,0.00,0
'até 25',2,'Solteiro','Superior Incompleto',9,42,'Proprietario','PJ',6,1892.00,0.00,73243.00,70580.00,1237.00,0,0.00,0,0.00,0
'41 a 60',1,'Solteiro','Sem Escolaridade',4,37,'Locatario','CLT',35,1518.00,0.00,41572.00,31661.00,-14892.00,0,132.65,0,2530.68,0
'41 a 60',1,'Solteiro','Sem Escolaridade',34,49,'Locatario','CLT',1,12725.00,200890.00,523767.00,216072.00,0.00,1,12193.58,33,77190.47,1
'acima de 60',3,'Casado','Ensino Médio Completo',58,37,'Locatario','PJ',2,1518.00,0.00,84865.00,45018.00,0.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',8,41,'Locatario','CLT',1,2071.00,0.00,86171.00,59197.00,1101.00,0,0.00,0,0.00,1
'41 a 60',1,'Solteiro','Sem Escolaridade',53,43,'Locatario','CLT',30,2521.00,0.00,72040.00,50468.00,0.00,1,1084.87,25,24693.16,1
'41 a 60',3,'Solteiro','Sem Escolaridade',52,62,'Locatario','CLT',34,2947.00,0.00,129024.00,65158.00,0.00,0,0.00,0,0.00,1
'até 25',0,'Solteiro','Sem Escolaridade',22,54,'Locatario','CLT',4,3012.00,0.00,29018.00,14840.00,0.00,1,1502.77,44,114645.56,1
'41 a 60',2,'Solteiro','Sem Escolaridade',0,41,'Locatario','CLT',28,2788.00,0.00,108404.00,41514.00,0.00,0,0.00,0,0.00,1
'26 a 40',4,'Solteiro','Sem Escolaridade',38,43,'Locatario','CLT',20,14433.00,295348.00,465966.00,237264.00,8708.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',58,41,'Locatario','CLT',71,2128.00,0.00,71343.00,65282.00,0.00,0,4955.75,0,336392.61,1
'26 a 40',1,'Viuvo','Superior Incompleto',29,50,'Proprietario','PJ',11,2894.00,0.00,91392.00,36141.00,0.00,1,4294.44,21,77209.17,1
'até 25',4,'Solteiro','Sem Escolaridade',19,62,'Locatario','CLT',1,11468.00,171020.00,634948.00,83726.00,0.00,0,0.00,0,0.00,1
'41 a 60',4,'Solteiro','Sem Escolaridade',8,43,'Locatario','CLT',24,2480.00,0.00,85769.00,50053.00,20350.00,1,981.89,24,81956.09,1
'acima de 60',1,'Viuvo','Técnico',11,59,'Proprietario','Autonomo',55,2670.00,0.00,78079.00,26468.00,9968.00,0,14834.76,0,202510.00,1
'26 a 40',4,'Viuvo','Pós-graduação',26,49,'Proprietario','CLT',16,1931.00,0.00,68102.00,35543.00,8007.00,1,16887.76,31,454884.68,1
'acima de 60',0,'Solteiro','Doutorado',67,56,'Locatario','Autonomo',50,11866.00,147977.00,830253.00,661794.00,292834.00,0,356.45,0,14881.76,0
'acima de 60',4,'Viuvo','Ensino Fundamental Incompleto',12,49,'Proprietario','Autonomo',31,1518.00,0.00,66096.00,7301.00,0.00,0,0.00,0,0.00,1
'41 a 60',4,'Solteiro','Sem Escolaridade',7,44,'Locatario','CLT',30,1842.00,0.00,62805.00,30949.00,-30569.00,0,0.00,0,0.00,0
'41 a 60',4,'Solteiro','Doutorado',0,61,'Locatario','PJ',0,2680.00,63370.00,918433.00,564875.00,-291585.00,0,34080.85,0,69536.17,1
'acima de 60',0,'Solteiro','Superior Incompleto',41,44,'Proprietario','PJ',52,2075.00,50023.00,831133.00,151648.00,-237789.00,1,31069.33,73,123028.18,1
'acima de 60',3,'Solteiro','Sem Escolaridade',63,49,'Locatario','CLT',63,1518.00,0.00,33025.00,6457.00,0.00,0,0.00,0,0.00,1
'acima de 60',4,'Solteiro','Sem Escolaridade',83,54,'Locatario','CLT',32,2051.00,0.00,80768.00,46724.00,-56623.00,1,29.46,18,520.75,1
'41 a 60',0,'Solteiro','Sem Escolaridade',47,54,'Locatario','CLT',29,2048.00,0.00,58695.00,15081.00,-15100.00,0,0.00,0,0.00,0
'acima de 60',2,'Viuvo','Ensino Médio Completo',32,41,'Proprietario','CLT',52,2898.00,0.00,22029.00,3371.00,0.00,1,13927.75,54,302711.85,1
'acima de 60',0,'Viuvo','Mestrado',15,48,'Proprietario','CLT',27,1518.00,0.00,56155.00,43614.00,-48480.00,1,1581.65,49,18292.61,1
'acima de 60',0,'Casado','Superior Completo',43,47,'Locatario','PJ',59,2269.00,0.00,11564.00,8881.00,0.00,0,0.00,0,0.00,0
'até 25',3,'Viuvo','Ensino Fundamental Completo',23,51,'Locatario','PJ',1,1518.00,0.00,123871.00,84502.00,29740.00,0,535.14,0,10963.66,1
'26 a 40',0,'Solteiro','Mestrado',26,36,'Locatario','CLT',5,2333.00,0.00,69274.00,46866.00,11656.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',62,56,'Locatario','CLT',35,9283.00,494167.00,489066.00,305240.00,0.00,0,552.38,0,36000.00,1
'até 25',0,'Solteiro','Sem Escolaridade',18,44,'Locatario','CLT',0,1851.00,0.00,72789.00,857.00,0.00,0,2175.11,0,4505.56,1
'41 a 60',0,'Casado','Ensino Fundamental Incompleto',48,50,'Locatario','Autonomo',30,3268.00,0.00,46541.00,26194.00,-47253.00,1,1182.69,15,16667.94,1
'acima de 60',4,'Viuvo','Doutorado',23,46,'Locatario','Autonomo',52,1518.00,0.00,91863.00,38969.00,1599.00,0,0.00,0,0.00,0
'até 25',1,'Solteiro','Doutorado',25,48,'Locatario','CLT',2,2223.00,0.00,133084.00,63053.00,0.00,0,0.00,0,0.00,0
'26 a 40',0,'Solteiro','Superior Incompleto',24,44,'Proprietario','CLT',22,1890.00,0.00,89634.00,37123.00,-6664.00,0,19514.29,0,104800.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',64,46,'Locatario','CLT',57,1518.00,0.00,79663.00,26516.00,0.00,1,274.25,33,16117.89,1
'acima de 60',1,'Solteiro','Sem Escolaridade',94,50,'Locatario','CLT',74,1518.00,0.00,63948.00,38319.00,295.00,1,9011.94,8,307224.71,1
'acima de 60',2,'Solteiro','Ensino Médio Incompleto',66,47,'Locatario','CLT',22,1831.00,0.00,88164.00,76068.00,0.00,1,903.71,34,3653.22,1
'41 a 60',2,'Solteiro','Sem Escolaridade',22,36,'Locatario','CLT',22,1598.00,0.00,68054.00,25089.00,16632.00,1,95380.29,25,1395651.79,1
'41 a 60',2,'Solteiro','Sem Escolaridade',45,37,'Locatario','CLT',28,2699.00,0.00,18668.00,16699.00,0.00,0,0.00,0,0.00,0
'26 a 40',0,'Solteiro','Sem Escolaridade',27,59,'Locatario','CLT',9,2264.00,0.00,103807.00,56853.00,6878.00,0,5061.29,0,15919.35,1
'até 25',0,'Solteiro','Ensino Fundamental Completo',4,59,'Proprietario','Autonomo',0,3110.00,0.00,85809.00,35222.00,18314.00,1,3068.63,25,60111.39,1
'26 a 40',0,'Solteiro','Sem Escolaridade',7,54,'Locatario','CLT',11,11628.00,241468.00,222685.00,219078.00,0.00,1,7852.57,23,60184.14,1
'acima de 60',1,'Viuvo','Ensino Fundamental Incompleto',8,41,'Locatario','PJ',13,1518.00,0.00,25697.00,14678.00,2434.00,0,357.34,0,11181.25,1
'acima de 60',4,'Viuvo','Ensino Médio Incompleto',74,46,'Proprietario','PJ',55,13140.00,143229.00,126225.00,63419.00,-187819.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Sem Escolaridade',25,49,'Locatario','CLT',35,2275.00,0.00,108078.00,44642.00,6591.00,0,0.00,0,0.00,0
'26 a 40',1,'Solteiro','Sem Escolaridade',28,54,'Locatario','CLT',2,3123.00,0.00,95968.00,27769.00,0.00,0,195.08,0,12340.88,0
'acima de 60',2,'Solteiro','Sem Escolaridade',53,37,'Locatario','CLT',31,1518.00,0.00,91420.00,44365.00,0.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Doutorado',52,48,'Locatario','CLT',32,1740.00,0.00,62639.00,59828.00,27273.00,0,407.73,0,13505.59,0
'26 a 40',0,'Solteiro','Sem Escolaridade',0,49,'Locatario','CLT',11,3463.00,0.00,38164.00,10135.00,-12626.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Sem Escolaridade',31,42,'Locatario','CLT',38,6591.00,264117.00,216030.00,191887.00,-89417.00,0,0.00,0,0.00,0
'26 a 40',3,'Solteiro','Sem Escolaridade',34,50,'Locatario','CLT',13,1592.00,0.00,40004.00,6616.00,2164.00,0,0.00,0,0.00,0
'26 a 40',4,'Solteiro','Ensino Médio Completo',3,62,'Proprietario','CLT',17,2033.00,0.00,85285.00,13438.00,2121.00,1,761.04,82,6835.46,1
'26 a 40',0,'Solteiro','Sem Escolaridade',23,41,'Locatario','CLT',8,1518.00,0.00,122072.00,75960.00,23753.00,0,0.00,0,0.00,0
'26 a 40',4,'Solteiro','Sem Escolaridade',5,41,'Locatario','CLT',14,1518.00,217492.00,301912.00,81769.00,-136741.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',96,44,'Locatario','CLT',50,3277.00,0.00,46307.00,10335.00,-33153.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Sem Escolaridade',33,41,'Locatario','CLT',11,2941.00,365129.00,501876.00,57394.00,-29721.00,0,115094.62,0,468800.00,1
'26 a 40',0,'Solteiro','Sem Escolaridade',18,41,'Locatario','CLT',19,1518.00,0.00,80337.00,64540.00,0.00,0,0.00,0,0.00,0
'41 a 60',4,'Solteiro','Sem Escolaridade',43,43,'Locatario','CLT',8,1518.00,0.00,19176.00,17584.00,3922.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Sem Escolaridade',6,36,'Locatario','CLT',40,3342.00,12705.00,430191.00,112559.00,5471.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',16,46,'Locatario','CLT',14,14299.00,578513.00,542264.00,198336.00,77136.00,0,1896.04,0,67892.08,0
'41 a 60',0,'Casado','Superior Completo',40,49,'Proprietario','CLT',23,1657.00,0.00,60001.00,57057.00,-4330.00,1,13459.05,0,967883.69,0
'até 25',4,'Solteiro','Sem Escolaridade',24,56,'Locatario','CLT',0,2237.00,0.00,127039.00,49651.00,2353.00,0,702.50,0,8875.00,1
'acima de 60',0,'Solteiro','Sem Escolaridade',51,49,'Locatario','CLT',81,1518.00,0.00,75785.00,65796.00,31671.00,1,1738.46,16,43000.00,1
'acima de 60',0,'Viuvo','Ensino Fundamental Completo',53,43,'Proprietario','Autonomo',80,1817.00,0.00,6400.00,720.00,-3988.00,0,0.00,0,0.00,1
'até 25',2,'Viuvo','Pós-graduação',19,37,'Proprietario','PJ',1,1518.00,0.00,84610.00,39839.00,-30652.00,0,0.00,0,0.00,0
'41 a 60',4,'Viuvo','Ensino Fundamental Incompleto',14,49,'Proprietario','Autonomo',24,1518.00,0.00,97334.00,25298.00,-627.00,0,0.00,0,0.00,1
'26 a 40',3,'Viuvo','Mestrado',10,48,'Proprietario','CLT',22,2281.00,0.00,17263.00,10791.00,0.00,0,3402.97,0,71541.03,1
'41 a 60',0,'Solteiro','Sem Escolaridade',57,59,'Locatario','CLT',39,1931.00,0.00,67670.00,8308.00,-14082.00,0,0.00,0,0.00,0
'41 a 60',0,'Solteiro','Mestrado',55,43,'Proprietario','PJ',34,1546.00,0.00,19194.00,16205.00,0.00,0,3158.23,0,96000.00,1
'acima de 60',4,'Casado','Mestrado',94,51,'Proprietario','PJ',76,8050.00,346796.00,609994.00,177752.00,59489.00,0,88.72,0,6630.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',74,41,'Locatario','CLT',60,1518.00,0.00,52851.00,9408.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',77,51,'Locatario','CLT',30,3262.00,0.00,36131.00,20496.00,11062.00,1,16295.70,75,877677.42,1
'acima de 60',3,'Solteiro','Sem Escolaridade',62,54,'Locatario','CLT',10,2193.00,0.00,61861.00,9097.00,119.00,0,0.00,0,0.00,1
