@relation risco_credito

@attribute rangeIdade {'até 25', '26 a 40', '41 a 60', 'acima de 60'}
@attribute numeroDependentes numeric
 @attribute estadoCivil {'Solteiro', 'Casado', 'Viuvo', 'Divorciado'}
@attribute escolaridade {'Ensino Médio Incompleto', 'Sem Escolaridade', 'Ensino Fundamental Completo', 'Ensino Fundamental Incompleto', 'Ensino Médio Completo', 'Superior Completo', 'Técnico', 'Superior Incompleto', 'Pós-graduação', 'Mestrado', 'Doutorado', 'Pós-doutorado'}
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia {'Locatario', 'Proprietario', 'Ocupante sem custo'}
@attribute tipoEmprego {'Estagio', 'CLT', 'Autonomo', 'PJ'}
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute score numeric

@data'acima de 60',1,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',0,1518.00,0.00,49610.00,20424.00,0.00,0,0.00,0,0.00,601
'41 a 60',0,'Solteiro','Sem Escolaridade',10,59,'Locatario','CLT',7,2136.00,0.00,47532.00,28303.00,0.00,1,7579.39,48,74692.15,251
'acima de 60',1,'Solteiro','Sem Escolaridade',44,50,'Locatario','CLT',59,2875.00,0.00,126018.00,37331.00,9436.00,1,3623.10,24,66955.95,418
'acima de 60',4,'Solteiro','Mestrado',49,61,'Proprietario','Autonomo',69,1892.00,0.00,26529.00,4327.00,0.00,0,0.00,0,0.00,549
'41 a 60',2,'Solteiro','Sem Escolaridade',22,43,'Locatario','CLT',20,2940.00,0.00,83639.00,79942.00,2597.00,1,294.41,9,4387.50,537
'26 a 40',1,'Solteiro','Sem Escolaridade',24,51,'Locatario','CLT',10,13735.00,15332.00,869219.00,502077.00,202042.00,0,0.00,0,0.00,783
'41 a 60',1,'Casado','Doutorado',4,54,'Locatario','CLT',8,5992.00,184732.00,311137.00,270774.00,0.00,0,2885.74,0,104000.00,627
'acima de 60',3,'Solteiro','Sem Escolaridade',62,54,'Locatario','CLT',41,2142.00,0.00,117884.00,69706.00,0.00,0,568.03,0,44000.00,469
'até 25',3,'Casado','Técnico',16,56,'Proprietario','CLT',6,1518.00,0.00,17394.00,14558.00,-7750.00,0,136.49,0,11392.13,567
'acima de 60',0,'Solteiro','Sem Escolaridade',73,62,'Locatario','CLT',55,2590.00,0.00,26300.00,18766.00,7732.00,0,0.00,0,0.00,611
'acima de 60',1,'Solteiro','Sem Escolaridade',1,49,'Locatario','CLT',40,1518.00,0.00,85981.00,71714.00,-27598.00,0,0.00,0,0.00,516
'acima de 60',4,'Solteiro','Sem Escolaridade',74,50,'Locatario','CLT',16,1518.00,0.00,41744.00,9735.00,0.00,0,0.00,0,0.00,485
'41 a 60',3,'Solteiro','Sem Escolaridade',42,44,'Locatario','CLT',24,1518.00,0.00,80652.00,51213.00,0.00,0,1898.86,0,35257.81,400
'26 a 40',1,'Solteiro','Sem Escolaridade',5,44,'Locatario','CLT',15,2168.00,0.00,84340.00,22702.00,0.00,0,0.00,0,0.00,628
'41 a 60',1,'Solteiro','Sem Escolaridade',50,61,'Locatario','CLT',32,2944.00,0.00,103421.00,75266.00,-17425.00,0,2987.91,0,172920.00,381
'acima de 60',0,'Solteiro','Sem Escolaridade',59,54,'Locatario','CLT',23,2707.00,0.00,42945.00,27316.00,0.00,0,0.00,0,0.00,526
'acima de 60',4,'Viuvo','Superior Completo',34,46,'Proprietario','CLT',43,8453.00,284177.00,212163.00,198080.00,18513.00,0,714.07,0,14500.00,812
'41 a 60',2,'Viuvo','Superior Completo',45,49,'Proprietario','PJ',23,5479.00,13069.00,1039947.00,391885.00,120259.00,0,0.00,0,0.00,795
'41 a 60',0,'Solteiro','Mestrado',47,41,'Locatario','Autonomo',29,1518.00,0.00,99827.00,80489.00,-7473.00,1,18925.34,4,439144.59,398
'acima de 60',3,'Viuvo','Sem Escolaridade',48,44,'Locatario','CLT',59,1518.00,0.00,68473.00,10909.00,3068.00,0,0.00,0,0.00,592
'acima de 60',0,'Viuvo','Superior Completo',83,41,'Locatario','PJ',65,1836.00,0.00,103715.00,42999.00,0.00,1,14248.45,61,856137.06,354
'acima de 60',4,'Solteiro','Sem Escolaridade',44,42,'Locatario','CLT',51,1518.00,0.00,96981.00,53951.00,5784.00,1,375.89,9,7616.15,541
'41 a 60',2,'Solteiro','Sem Escolaridade',14,43,'Locatario','CLT',20,1518.00,0.00,93761.00,71281.00,50075.00,0,0.00,0,0.00,639
'41 a 60',4,'Solteiro','Sem Escolaridade',52,51,'Locatario','CLT',25,1518.00,0.00,115099.00,34021.00,-29154.00,1,8807.16,54,105218.92,248
'26 a 40',0,'Casado','Doutorado',32,46,'Locatario','Autonomo',4,1518.00,0.00,86416.00,68066.00,-21992.00,1,6107.62,34,103750.34,479
'41 a 60',2,'Solteiro','Sem Escolaridade',39,56,'Locatario','CLT',26,1518.00,0.00,98306.00,65069.00,3181.00,0,0.00,0,0.00,604
'acima de 60',0,'Solteiro','Sem Escolaridade',64,54,'Locatario','CLT',37,2237.00,0.00,86144.00,44017.00,0.00,1,896.18,15,11013.69,354
'41 a 60',1,'Casado','Doutorado',49,46,'Locatario','Autonomo',26,1518.00,0.00,58342.00,49948.00,0.00,0,0.00,0,0.00,589
'41 a 60',3,'Solteiro','Sem Escolaridade',47,47,'Locatario','CLT',15,1518.00,0.00,67105.00,21034.00,-23500.00,0,0.00,0,0.00,538
'acima de 60',1,'Viuvo','Superior Incompleto',85,46,'Proprietario','Autonomo',37,1518.00,0.00,54854.00,11808.00,0.00,0,2769.06,0,90943.07,477
'acima de 60',0,'Solteiro','Sem Escolaridade',89,44,'Locatario','CLT',76,1518.00,0.00,32474.00,14275.00,0.00,0,0.00,0,0.00,559
'41 a 60',1,'Solteiro','Sem Escolaridade',43,50,'Locatario','CLT',31,2223.00,0.00,114718.00,63591.00,-17140.00,1,1889.71,69,16720.59,299
'41 a 60',3,'Solteiro','Sem Escolaridade',19,49,'Locatario','CLT',10,2663.00,0.00,83222.00,37766.00,0.00,0,0.00,0,0.00,538
'26 a 40',1,'Solteiro','Sem Escolaridade',21,61,'Locatario','CLT',11,2695.00,0.00,107530.00,55758.00,6762.00,0,0.00,0,0.00,675
'41 a 60',2,'Solteiro','Sem Escolaridade',33,41,'Locatario','CLT',35,2757.00,0.00,51298.00,15514.00,-1756.00,1,16928.22,18,290979.89,299
'acima de 60',2,'Solteiro','Sem Escolaridade',62,49,'Locatario','CLT',48,2427.00,141154.00,458485.00,303089.00,-245893.00,0,1172.58,0,72540.00,489
'41 a 60',1,'Casado','Técnico',35,54,'Proprietario','Autonomo',40,1518.00,0.00,61295.00,59636.00,1455.00,0,1744.33,0,72300.00,484
'26 a 40',4,'Solteiro','Sem Escolaridade',30,49,'Locatario','CLT',12,2286.00,0.00,162496.00,86252.00,921.00,0,0.00,0,0.00,613
'acima de 60',2,'Casado','Superior Incompleto',92,48,'Proprietario','Autonomo',37,2632.00,0.00,95694.00,79481.00,0.00,0,0.00,0,0.00,665
'acima de 60',2,'Casado','Superior Completo',26,43,'Proprietario','Autonomo',67,1837.00,0.00,76146.00,40644.00,-19457.00,1,400.23,16,7855.19,563
'41 a 60',2,'Solteiro','Sem Escolaridade',58,51,'Locatario','CLT',32,2212.00,0.00,88933.00,66693.00,-18811.00,1,4473.63,7,23311.16,264
'acima de 60',1,'Solteiro','Sem Escolaridade',0,41,'Locatario','CLT',52,3003.00,0.00,69632.00,60144.00,5789.00,0,19480.60,0,645527.01,558
'41 a 60',2,'Solteiro','Ensino Médio Incompleto',40,41,'Proprietario','CLT',28,3210.00,586654.00,503114.00,351000.00,0.00,1,2570.77,6,69537.04,536
'acima de 60',2,'Solteiro','Sem Escolaridade',52,51,'Locatario','CLT',6,2804.00,0.00,82413.00,20580.00,1529.00,1,112.23,86,4232.83,522
'até 25',1,'Solteiro','Superior Incompleto',1,43,'Locatario','PJ',0,1740.00,545949.00,480056.00,471015.00,38164.00,0,0.00,0,0.00,613
'acima de 60',3,'Solteiro','Superior Completo',93,43,'Locatario','PJ',79,2712.00,0.00,80157.00,36301.00,19448.00,1,26641.73,80,710206.25,436
'26 a 40',4,'Solteiro','Superior Incompleto',30,41,'Locatario','PJ',15,2125.00,0.00,90648.00,52092.00,5208.00,0,0.00,0,0.00,724
'41 a 60',4,'Casado','Mestrado',55,56,'Locatario','Autonomo',37,1798.00,0.00,42945.00,35069.00,0.00,0,0.00,0,0.00,467
'41 a 60',0,'Solteiro','Sem Escolaridade',38,56,'Locatario','CLT',9,2648.00,0.00,53474.00,4691.00,367.00,0,2046.57,0,87031.11,445
'26 a 40',4,'Solteiro','Sem Escolaridade',26,42,'Locatario','CLT',7,1518.00,0.00,44316.00,19260.00,0.00,0,0.00,0,0.00,544
'acima de 60',3,'Solteiro','Sem Escolaridade',35,43,'Locatario','CLT',47,1518.00,0.00,58736.00,16003.00,-38150.00,1,4151.16,46,98776.30,303
'até 25',2,'Solteiro','Pós-graduação',15,54,'Proprietario','CLT',6,2215.00,0.00,26717.00,7723.00,0.00,1,864.48,17,13133.23,393
'acima de 60',3,'Solteiro','Sem Escolaridade',86,44,'Locatario','CLT',67,1518.00,0.00,66174.00,17216.00,-2755.00,0,0.00,0,0.00,558
'41 a 60',1,'Solteiro','Sem Escolaridade',54,49,'Locatario','CLT',40,3104.00,0.00,11774.00,7640.00,0.00,1,7658.74,11,24230.64,313
'acima de 60',0,'Solteiro','Sem Escolaridade',38,43,'Locatario','CLT',65,7932.00,179091.00,96733.00,51366.00,0.00,1,2146.03,53,57201.04,607
'acima de 60',1,'Solteiro','Sem Escolaridade',97,43,'Locatario','CLT',67,1518.00,0.00,87053.00,74993.00,0.00,0,71.26,0,3633.33,574
'26 a 40',1,'Solteiro','Sem Escolaridade',0,43,'Locatario','CLT',15,2711.00,0.00,85071.00,40790.00,-45454.00,0,0.00,0,0.00,573
'acima de 60',0,'Solteiro','Sem Escolaridade',27,44,'Locatario','CLT',7,9895.00,343634.00,439949.00,108491.00,0.00,1,271.12,0,13215.35,700
'até 25',1,'Solteiro','Sem Escolaridade',24,50,'Locatario','CLT',6,1967.00,0.00,30600.00,21301.00,0.00,0,0.00,0,0.00,501
'acima de 60',2,'Solteiro','Sem Escolaridade',68,62,'Locatario','CLT',21,3215.00,0.00,67109.00,59047.00,3277.00,1,2038.55,55,110918.89,474
'acima de 60',3,'Solteiro','Sem Escolaridade',52,56,'Locatario','CLT',18,1518.00,0.00,29004.00,20258.00,0.00,0,0.00,0,0.00,450
'26 a 40',3,'Solteiro','Sem Escolaridade',31,51,'Locatario','CLT',0,2068.00,0.00,45104.00,8567.00,1821.00,0,0.00,0,0.00,529
'acima de 60',4,'Viuvo','Sem Escolaridade',8,47,'Locatario','PJ',4,1518.00,0.00,59079.00,55452.00,0.00,1,670.11,33,37363.55,143
'acima de 60',4,'Casado','Superior Incompleto',88,48,'Proprietario','CLT',70,18531.00,2307.00,418358.00,392901.00,0.00,0,0.00,0,0.00,785
'26 a 40',4,'Solteiro','Sem Escolaridade',26,62,'Locatario','CLT',8,4350.00,524983.00,1045807.00,362817.00,107727.00,0,0.00,0,0.00,768
'26 a 40',0,'Casado','Pós-graduação',29,36,'Proprietario','CLT',0,1518.00,0.00,63343.00,37501.00,204.00,1,1052.46,75,38042.57,608
'41 a 60',1,'Casado','Sem Escolaridade',27,49,'Proprietario','PJ',27,1878.00,0.00,114417.00,47029.00,29082.00,0,0.00,0,0.00,626
'26 a 40',1,'Viuvo','Técnico',23,44,'Locatario','Autonomo',15,1518.00,0.00,65114.00,18586.00,-90604.00,1,358.13,43,5610.68,501
'26 a 40',4,'Casado','Sem Escolaridade',33,49,'Locatario','CLT',3,1518.00,0.00,53651.00,34603.00,0.00,1,255.53,25,11959.42,457
'acima de 60',4,'Solteiro','Sem Escolaridade',77,43,'Locatario','CLT',55,6070.00,300993.00,297757.00,213254.00,13028.00,0,22490.77,0,76200.00,642
'26 a 40',1,'Solteiro','Sem Escolaridade',24,46,'Locatario','CLT',7,3016.00,0.00,40822.00,1978.00,0.00,1,24781.20,41,33077.96,316
'acima de 60',1,'Solteiro','Sem Escolaridade',59,41,'Locatario','CLT',8,15109.00,257728.00,701784.00,175329.00,0.00,0,0.00,0,0.00,699
'acima de 60',0,'Solteiro','Sem Escolaridade',25,48,'Locatario','CLT',53,1518.00,0.00,158710.00,66444.00,-66187.00,0,0.00,0,0.00,628
'41 a 60',4,'Solteiro','Sem Escolaridade',20,54,'Locatario','CLT',25,1951.00,0.00,28508.00,3876.00,-37522.00,1,4151.68,63,243989.33,161
'41 a 60',1,'Casado','Ensino Fundamental Incompleto',41,42,'Locatario','Autonomo',13,2952.00,0.00,60151.00,54221.00,0.00,0,0.00,0,0.00,482
'41 a 60',0,'Viuvo','Ensino Fundamental Incompleto',20,49,'Locatario','CLT',37,1518.00,0.00,37604.00,26177.00,-45005.00,0,0.00,0,0.00,481
'acima de 60',3,'Solteiro','Sem Escolaridade',26,41,'Locatario','CLT',54,1518.00,0.00,12209.00,5697.00,-61926.00,0,0.00,0,0.00,485
'26 a 40',0,'Solteiro','Sem Escolaridade',33,49,'Locatario','CLT',19,5268.00,27178.00,266977.00,140446.00,-22727.00,0,346.98,0,14031.13,747
'41 a 60',3,'Solteiro','Sem Escolaridade',41,44,'Locatario','CLT',23,7490.00,305487.00,292942.00,215445.00,-106016.00,0,0.00,0,0.00,663
'acima de 60',1,'Viuvo','Ensino Médio Incompleto',58,41,'Proprietario','CLT',62,1518.00,0.00,62343.00,54961.00,5854.00,1,41242.23,77,572821.85,446
'até 25',0,'Viuvo','Técnico',25,56,'Proprietario','PJ',7,2561.00,0.00,99546.00,57230.00,10144.00,0,0.00,0,0.00,715
'41 a 60',3,'Solteiro','Ensino Médio Incompleto',0,54,'Locatario','CLT',33,3284.00,0.00,29842.00,5295.00,1813.00,0,0.00,0,0.00,571
'acima de 60',3,'Solteiro','Sem Escolaridade',99,41,'Locatario','CLT',29,2930.00,0.00,25652.00,16954.00,5795.00,0,0.00,0,0.00,575
'41 a 60',0,'Solteiro','Sem Escolaridade',25,49,'Locatario','CLT',35,2275.00,0.00,108078.00,44642.00,6591.00,0,0.00,0,0.00,688
'41 a 60',0,'Solteiro','Sem Escolaridade',45,56,'Locatario','CLT',34,1518.00,0.00,105757.00,54765.00,0.00,0,0.00,0,0.00,575
'41 a 60',3,'Solteiro','Sem Escolaridade',21,48,'Locatario','CLT',22,1578.00,0.00,98928.00,40479.00,0.00,0,0.00,0,0.00,538
'acima de 60',4,'Solteiro','Ensino Médio Completo',44,42,'Locatario','CLT',5,2664.00,0.00,46665.00,29741.00,9880.00,0,0.00,0,0.00,623
'26 a 40',0,'Solteiro','Sem Escolaridade',26,49,'Locatario','CLT',6,1518.00,0.00,110940.00,69386.00,652.00,0,39917.38,0,1027560.00,556
'acima de 60',1,'Casado','Doutorado',12,43,'Locatario','PJ',66,1518.00,0.00,42792.00,33784.00,-137.00,0,0.00,0,0.00,536
'acima de 60',4,'Solteiro','Sem Escolaridade',33,59,'Locatario','CLT',54,3251.00,0.00,32277.00,17287.00,0.00,0,0.00,0,0.00,536
'até 25',3,'Casado','Superior Completo',19,42,'Proprietario','CLT',2,4415.00,134660.00,271930.00,124535.00,-377191.00,1,812.13,3,16910.95,694
'41 a 60',1,'Solteiro','Técnico',51,62,'Proprietario','Autonomo',35,2728.00,0.00,85106.00,35598.00,15039.00,0,0.00,0,0.00,695
'até 25',4,'Solteiro','Sem Escolaridade',21,49,'Locatario','CLT',3,2840.00,0.00,22602.00,3184.00,0.00,1,252.18,34,7325.00,371
'41 a 60',0,'Solteiro','Pós-graduação',12,49,'Locatario','Autonomo',30,10782.00,217255.00,209195.00,121240.00,0.00,0,0.00,0,0.00,757
'26 a 40',0,'Casado','Mestrado',26,44,'Locatario','PJ',20,2533.00,0.00,53264.00,28675.00,0.00,1,70143.90,76,632158.54,479
'acima de 60',4,'Casado','Ensino Médio Incompleto',95,50,'Proprietario','PJ',77,1518.00,0.00,32595.00,17457.00,0.00,0,88.46,0,1154.62,495
'41 a 60',0,'Solteiro','Sem Escolaridade',18,43,'Locatario','CLT',2,1870.00,0.00,101177.00,52447.00,-24767.00,1,2635.52,34,113486.74,366
'acima de 60',0,'Solteiro','Doutorado',88,43,'Proprietario','CLT',49,1518.00,107859.00,463851.00,134929.00,0.00,0,0.00,0,0.00,810
'26 a 40',3,'Solteiro','Sem Escolaridade',33,44,'Locatario','CLT',15,1518.00,0.00,80655.00,47216.00,6782.00,0,0.00,0,0.00,693
'26 a 40',4,'Solteiro','Sem Escolaridade',25,42,'Locatario','CLT',10,3418.00,0.00,48386.00,24776.00,0.00,0,0.00,0,0.00,625
'acima de 60',3,'Solteiro','Sem Escolaridade',83,49,'Locatario','CLT',33,2581.00,0.00,24995.00,22060.00,5240.00,0,0.00,0,0.00,575
'acima de 60',0,'Viuvo','Superior Incompleto',87,44,'Locatario','Autonomo',62,2756.00,0.00,96689.00,4790.00,-95015.00,0,0.00,0,0.00,609
'acima de 60',1,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',10,3082.00,0.00,39104.00,22249.00,0.00,0,0.00,0,0.00,588
'41 a 60',0,'Solteiro','Sem Escolaridade',51,43,'Locatario','CLT',31,6531.00,133787.00,247055.00,70389.00,7106.00,1,913.27,5,27995.93,666
'acima de 60',0,'Solteiro','Sem Escolaridade',55,44,'Locatario','CLT',57,1518.00,0.00,56773.00,8687.00,-19473.00,0,0.00,0,0.00,628
